# Books List
# Format: ID | Title | Author
B0001 | To Kill a Mockingbird | Harper Lee
B0002 | 1984 | George Orwell
B0003 | Pride and Prejudice | Jane Austen
B0004 | The Great Gatsby | F. Scott Fitzgerald
B0005 | Moby-Dick | Herman Melville
B0006 | War and Peace | Leo Tolstoy
B0007 | The Catcher in the Rye | J.D. Salinger
B0008 | The Hobbit | J.R.R. Tolkien
B0009 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0010 | The Lord of the Rings | J.R.R. Tolkien
B0011 | Brave New World | Aldous Huxley
B0012 | Crime and Punishment | Fyodor Dostoevsky
B0013 | The Alchemist | Paulo Coelho
B0014 | The Da Vinci Code | Dan Brown
B0015 | The Kite Runner | Khaled Hosseini
B0016 | The Fault in Our Stars | John Green
B0017 | The Hunger Games | Suzanne Collins
B0018 | The Chronicles of Narnia | C.S. Lewis
B0019 | Jane Eyre | Charlotte Brontë
B0020 | Wuthering Heights | Emily Brontë
B0021 | The Picture of Dorian Gray | Oscar Wilde
B0022 | Animal Farm | George Orwell
B0023 | Little Women | Louisa May Alcott
B0024 | Les Misérables | Victor Hugo
B0025 | The Shining | Stephen King
B0026 | It | Stephen King
B0027 | A Game of Thrones | George R.R. Martin
B0028 | The Name of the Wind | Patrick Rothfuss
B0029 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0030 | Thinking, Fast and Slow | Daniel Kahneman
B0031 | Clean Code | Robert C. Martin
B0032 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0033 | Introduction to Algorithms | Thomas H. Cormen
B0034 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0035 | Operating System Concepts | Abraham Silberschatz
B0036 | Computer Networks | Andrew S. Tanenbaum
B0037 | Database System Concepts | Abraham Silberschatz
B0038 | Modern Operating Systems | Andrew S. Tanenbaum
B0039 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0040 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0041 | To Kill a Mockingbird | Harper Lee
B0042 | 1984 | George Orwell
B0043 | Pride and Prejudice | Jane Austen
B0044 | The Great Gatsby | F. Scott Fitzgerald
B0045 | Moby-Dick | Herman Melville
B0046 | War and Peace | Leo Tolstoy
B0047 | The Catcher in the Rye | J.D. Salinger
B0048 | The Hobbit | J.R.R. Tolkien
B0049 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0050 | The Lord of the Rings | J.R.R. Tolkien
B0051 | Brave New World | Aldous Huxley
B0052 | Crime and Punishment | Fyodor Dostoevsky
B0053 | The Alchemist | Paulo Coelho
B0054 | The Da Vinci Code | Dan Brown
B0055 | The Kite Runner | Khaled Hosseini
B0056 | The Fault in Our Stars | John Green
B0057 | The Hunger Games | Suzanne Collins
B0058 | The Chronicles of Narnia | C.S. Lewis
B0059 | Jane Eyre | Charlotte Brontë
B0060 | Wuthering Heights | Emily Brontë
